LAMMPS (15 May 2015)
Reading data file ...
  orthogonal box = (-10.7281 -10.7281 -2.60084) to (10.7281 10.7281 2.60084)
  2 by 2 by 1 MPI processor grid
  reading atoms ...
  424 atoms
212 atoms in group positive_ions
212 atoms in group negative_ions
424 atoms in group salt_ions
PPPMDisp initialization ...
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
  Coulomb G vector (1/distance)= 0.359897
  Coulomb grid = 18 18 12
  Coulomb stencil order = 5
  Coulomb estimated absolute RMS force accuracy = 0.000101278
  Coulomb estimated relative force accuracy = 0.000101278
  using double precision FFTs
  3d grid and FFT values/proc = 2744 972
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 8.1
Setting up run ...
Memory usage per processor = 3.81279 Mbytes
Step Temp Volume Density KinEng PotEng TotEng 
       0   0.99763593    2394.6897   0.17705843    1.4929245 -0.059626009    1.4332985 
    1000     1.036683    2394.6897   0.17705843     1.551357  -0.23677445    1.3145826 
    2000     1.099898    2394.6897   0.17705843    1.6459558  -0.20243632    1.4435195 
    3000    0.9660974    2394.6897   0.17705843    1.4457283  -0.18548109    1.2602472 
    4000     1.034151    2394.6897   0.17705843    1.5475679  -0.20254453    1.3450234 
    5000   0.98569494    2394.6897   0.17705843    1.4750553  -0.20404065    1.2710146 
    6000   0.96693551    2394.6897   0.17705843    1.4469825  -0.20288144    1.2441011 
    7000    1.0005425    2394.6897   0.17705843    1.4972741  -0.21240807     1.284866 
    8000    1.0065935    2394.6897   0.17705843    1.5063291  -0.25204093    1.2542882 
    9000    1.0244198    2394.6897   0.17705843    1.5330056  -0.25910053     1.273905 
   10000     1.027829    2394.6897   0.17705843    1.5381073  -0.24717009    1.2909372 
   11000    1.0042712    2394.6897   0.17705843    1.5028539  -0.21868588     1.284168 
   12000     1.030095    2394.6897   0.17705843    1.5414983  -0.19756349    1.3439348 
   13000    1.0019652    2394.6897   0.17705843    1.4994031   -0.2142553    1.2851478 
   14000   0.99495967    2394.6897   0.17705843    1.4889196  -0.27486053    1.2140591 
   15000   0.95075028    2394.6897   0.17705843    1.4227619  -0.22602285    1.1967391 
   16000   0.99506373    2394.6897   0.17705843    1.4890753   -0.2575842    1.2314911 
   17000   0.97997144    2394.6897   0.17705843    1.4664903  -0.22736458    1.2391257 
   18000    1.0391373    2394.6897   0.17705843    1.5550298  -0.22653182     1.328498 
   19000    1.0048375    2394.6897   0.17705843    1.5037014  -0.18849181    1.3152096 
   20000   0.92411243    2394.6897   0.17705843    1.3828994  -0.21848869    1.1644107 
   21000   0.93568742    2394.6897   0.17705843    1.4002209   -0.2414461    1.1587748 
   22000    0.9730462    2394.6897   0.17705843    1.4561269  -0.21417031    1.2419566 
   23000    1.0161294    2394.6897   0.17705843    1.5205993  -0.20803469    1.3125646 
   24000    1.0163487    2394.6897   0.17705843    1.5209275  -0.16600259    1.3549249 
   25000   0.97341829    2394.6897   0.17705843    1.4566837  -0.23831851    1.2183652 
   26000    1.0058771    2394.6897   0.17705843    1.5052571  -0.25059558    1.2546615 
   27000     1.077693    2394.6897   0.17705843    1.6127269  -0.22810395    1.3846229 
   28000    1.0120259    2394.6897   0.17705843    1.5144586  -0.22918041    1.2852782 
   29000   0.99649373    2394.6897   0.17705843    1.4912153  -0.25888904    1.2323262 
   30000   0.98520756    2394.6897   0.17705843    1.4743259  -0.21967803    1.2546479 
   31000     1.090613    2394.6897   0.17705843    1.6320611  -0.21764836    1.4144128 
   32000    1.0009019    2394.6897   0.17705843    1.4978119  -0.22562007    1.2721918 
   33000    1.0560796    2394.6897   0.17705843    1.5803833  -0.27496838     1.305415 
   34000     1.030991    2394.6897   0.17705843    1.5428391  -0.21784718    1.3249919 
   35000   0.96066665    2394.6897   0.17705843    1.4376014  -0.26176771    1.1758337 
   36000   0.98391507    2394.6897   0.17705843    1.4723918   -0.2221851    1.2502067 
   37000    1.0317041    2394.6897   0.17705843    1.5439063  -0.25857579    1.2853305 
   38000    0.9924728    2394.6897   0.17705843    1.4851981  -0.22763976    1.2575583 
   39000   0.92973714    2394.6897   0.17705843    1.3913165  -0.24985917    1.1414574 
   40000   0.98241057    2394.6897   0.17705843    1.4701403  -0.20723756    1.2629028 
   41000   0.92014768    2394.6897   0.17705843    1.3769663  -0.29250471    1.0844616 
   42000     0.984354    2394.6897   0.17705843    1.4730486   -0.2287897    1.2442589 
   43000     1.004598    2394.6897   0.17705843    1.5033431  -0.18939339    1.3139497 
   44000    1.0645649    2394.6897   0.17705843    1.5930813  -0.22606808    1.3670132 
   45000    1.0155091    2394.6897   0.17705843     1.519671  -0.24730075    1.2723703 
   46000    1.0040893    2394.6897   0.17705843    1.5025818  -0.22241871    1.2801631 
   47000    1.0205056    2394.6897   0.17705843    1.5271482  -0.23592405    1.2912241 
   48000    1.0018382    2394.6897   0.17705843     1.499213  -0.23443735    1.2647757 
   49000    1.0072686    2394.6897   0.17705843    1.5073395  -0.23602901    1.2713105 
   50000    1.0053416    2394.6897   0.17705843    1.5044558  -0.21217159    1.2922843 
   51000    1.1074591    2394.6897   0.17705843    1.6572707  -0.24123774     1.416033 
   52000   0.97801986    2394.6897   0.17705843    1.4635698  -0.21117477     1.252395 
   53000    1.0026951    2394.6897   0.17705843    1.5004953  -0.20334892    1.2971464 
   54000   0.92237202    2394.6897   0.17705843    1.3802949  -0.21612557    1.1641694 
   55000    1.0200923    2394.6897   0.17705843    1.5265297  -0.23913663     1.287393 
   56000   0.96046744    2394.6897   0.17705843    1.4373033  -0.29234796    1.1449553 
